# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
>Kepler-1979: 289.8429062 38.3096220 13.611 0.940 1.030 5942.0 4.51 -0.06
 Kepler-1979 b: 6.596 29.330 nan 0.1383 18.50845 747.0 0
>Kepler-198: 290.6731326 38.6910045 12.027 0.940 0.948 5574.0 4.47 0.04
 Kepler-198 b: 4.478 2.820 nan 0.1310 17.79004 720.0 0
 Kepler-198 c: 3.668 2.470 nan 0.2590 49.56742 512.1 0
 Kepler-198 d: 1.773 1.515 nan 0.0232 1.31184 1720.1 0
>Kepler-1980: 295.1672065 38.6370390 13.810 0.990 1.050 5819.0 4.47 0.14
 Kepler-1980 b: 6.032 2.210 nan 0.2049 33.02572 616.8 0
>Kepler-1981: 287.9754691 38.7402988 11.951 3.010 1.520 5874.0 3.66 0.12
 Kepler-1981 b: 17.026 9.230 nan 1.3292 453.54212 426.2 0
>Kepler-1982: 287.4099905 39.6586267 11.473 1.120 1.210 6202.0 4.42 0.21
 Kepler-1982 b: 2.388 0.770 nan 0.0511 3.82316 1400.1 0
>Kepler-1983: 297.0420150 39.9121864 12.232 0.870 0.810 5135.0 4.46 0.12
 Kepler-1983 b: 1.211 2.330 nan 0.0689 7.32852 879.9 0
>Kepler-1984: 291.2850446 40.7300225 12.580 0.420 0.450 3638.0 4.84 -0.14
 Kepler-1984 b: 2.066 6.810 nan 0.0238 1.99281 736.9 0
>Kepler-1985: 293.5663715 42.1325825 13.556 0.970 0.880 5370.0 4.41 0.14
 Kepler-1985 b: 1.767 2.270 nan 0.0426 3.42065 1235.6 0
>Kepler-1986: 292.9582727 42.8548909 13.908 0.730 0.780 5549.0 4.60 -0.54
 Kepler-1986 b: 1.780 1.890 nan 0.1307 19.54897 632.4 0
>Kepler-1987: 295.8254663 42.9433716 13.154 0.710 0.800 4769.0 4.62 0.12
 Kepler-1987 b: 1.679 1.230 nan 0.0318 2.34586 1086.6 0
 Kepler-1987 c: 1.998 1.330 nan 0.0427 3.64830 937.7 0
 Kepler-1987 d: 2.260 2.660 nan 0.0571 5.64491 810.9 0
 Kepler-1987 e: 2.628 1.920 nan 0.0765 8.74292 700.6 0
>Kepler-1988: 298.6738034 43.7955099 10.521 1.790 1.130 6033.0 3.98 -0.10
 Kepler-1988 b: 7.602 1.530 nan 0.1038 11.49500 1208.1 0
>Kepler-1989: 290.7351869 44.0912620 13.193 1.060 1.000 6032.0 4.39 -0.14
 Kepler-1989 b: 3.163 4.620 nan 0.0918 10.16102 988.4 0
>Kepler-199: 295.5594278 40.2362490 12.083 0.970 0.935 5644.0 4.44 -0.16
 Kepler-199 b: 4.954 3.110 nan 0.1580 23.63760 674.3 0
 Kepler-199 c: 6.931 3.250 nan 0.3160 67.09341 476.8 0
>Kepler-1990: 299.7047433 44.4357068 11.055 1.070 1.030 5751.0 4.39 0.21
 Kepler-1990 b: 2.274 3.270 nan 0.0286 1.73514 1696.2 0
 Kepler-1990 c: 2.835 0.980 nan 0.0504 4.06845 1277.8 0
>Kepler-1991: 285.0360506 45.0709909 13.067 1.050 0.910 5478.0 4.35 0.16
 Kepler-1991 b: 3.912 1.470 nan 0.1065 13.26080 829.4 0
 Kepler-1991 c: 5.039 2.570 nan 0.1528 22.79020 692.4 0
>Kepler-1992: 295.0902409 45.0811045 11.767 0.840 0.870 5383.0 4.53 0.00
 Kepler-1992 b: 3.873 0.910 nan 0.1169 15.61122 695.8 0
>Kepler-1993: 293.7968548 45.1607261 11.136 3.060 1.370 5159.0 3.60 -0.04
 Kepler-1993 b: 4.954 4.150 nan 0.1943 26.65657 987.2 0
>Kepler-1994: 297.1487941 46.2969247 10.185 0.960 0.930 5495.0 4.44 0.16
 Kepler-1994 b: 2.695 0.510 nan 0.0530 4.61225 1127.7 0
>Kepler-1995: 284.3427250 46.3165907 13.016 0.930 0.850 5029.0 4.43 0.48
 Kepler-1995 b: 2.690 4.280 nan 0.3259 73.75789 409.7 0
>Kepler-1996: 285.2537555 46.5822183 12.530 0.680 0.750 4580.0 4.64 0.08
 Kepler-1996 b: 4.464 2.260 nan 0.1789 32.37618 430.6 0
 Kepler-1996 c: 6.830 2.810 nan 0.3608 92.72972 303.2 0
>Kepler-1997: 297.4808253 46.5891373 13.885 1.050 1.110 6215.0 4.44 -0.06
 Kepler-1997 b: 5.858 2.280 nan 0.1815 26.75759 720.8 0
>Kepler-1998: 283.4291536 47.5923973 11.076 0.920 0.960 5640.0 4.49 0.06
 Kepler-1998 b: 1.774 0.600 nan 0.0405 3.03267 1296.2 0
>Kepler-1999: 282.3705675 48.2592340 13.882 0.630 0.630 4406.0 4.64 -0.24
 Kepler-1999 b: 3.866 3.290 nan 0.0713 8.73968 631.5 0
>Kepler-20: 287.6979913 42.3385782 10.871 0.920 0.930 5495.0 4.45 0.07
 Kepler-20 b: 2.547 1.773 9.700 0.0457 3.69610 1189.5 0
 Kepler-20 c: 3.777 2.894 11.100 0.0936 10.85408 830.7 0
 Kepler-20 d: 7.620 2.606 13.400 0.3474 77.61146 431.2 0
 Kepler-20 e: 2.881 0.821 0.760 0.0637 6.09849 1007.0 0
 Kepler-20 f: 3.382 0.952 1.400 0.1387 19.57833 682.4 0
 Kepler-20 g: nan nan 19.960 0.2055 34.94000 572.7 1
>Kepler-200: 284.4099503 41.2374928 12.455 0.940 0.925 5678.0 4.45 -0.01
 Kepler-200 b: 3.534 2.130 nan 0.0800 8.59480 938.5 0
 Kepler-200 c: 1.110 1.590 nan 0.0900 10.22216 884.9 0
>Kepler-2000: 285.5743032 49.9621218 12.290 0.580 0.580 3757.0 4.68 0.48
 Kepler-2000 b: 1.750 2.730 nan 0.0562 6.38316 582.0 0
 Kepler-2000 c: 3.267 1.570 nan 0.1228 20.61803 393.7 0
>Kepler-2001: 291.6594558 50.5838585 13.551 0.770 0.860 5081.0 4.60 0.12
 Kepler-2001 b: 1.500 1.040 nan 0.0197 1.09001 1531.8 0
 Kepler-2001 c: 4.154 1.820 nan 0.1084 14.09258 653.0 0
>Kepler-201: 293.6260590 41.2728004 11.737 1.230 1.085 6065.0 4.29 0.24
 Kepler-201 b: 5.627 2.460 nan 0.1750 25.67208 775.3 0
 Kepler-201 c: 12.990 2.850 nan 0.5730 151.88406 428.5 0
>Kepler-202: 282.9734874 41.3217991 11.639 0.670 0.734 4668.0 4.65 -0.26
 Kepler-202 b: 2.067 1.630 nan 0.0450 4.06943 868.6 0
 Kepler-202 c: 2.853 1.850 nan 0.1130 16.28249 548.1 0
>Kepler-203: 297.0899590 41.3880686 12.445 1.110 1.050 5821.0 4.36 0.05
 Kepler-203 b: 1.900 2.570 nan 0.0430 3.16270 1426.1 0
 Kepler-203 c: 2.014 2.470 749.900 0.0610 5.37065 1197.4 0
 Kepler-203 d: 3.992 1.440 33.900 0.1000 11.32972 935.2 0
>Kepler-204: 285.3471620 41.7618450 12.481 1.240 1.030 5812.0 4.27 -0.22
 Kepler-204 b: 3.906 2.530 nan 0.1170 14.40097 912.4 0
 Kepler-204 c: 4.383 1.790 nan 0.1730 25.66059 750.3 0
>Kepler-205: 285.2866912 41.8609357 10.833 0.550 0.576 4321.0 4.74 -0.12
 Kepler-205 b: 1.948 1.510 nan 0.0320 2.75564 863.8 0
 Kepler-205 c: 2.873 1.640 nan 0.1220 20.30655 442.4 0
>Kepler-206: 291.6346564 41.8338415 12.001 1.190 1.057 5764.0 4.31 0.08
 Kepler-206 b: 3.644 1.200 nan 0.0780 7.78199 1085.6 0
 Kepler-206 c: 4.768 1.770 nan 0.1110 13.13747 910.1 0
 Kepler-206 d: 5.389 1.190 nan 0.1630 23.44281 751.0 0
>Kepler-207: 290.0305195 42.1660555 11.805 1.590 1.218 5920.0 4.13 0.18
 Kepler-207 b: 2.999 1.570 nan 0.0290 1.61187 2113.8 0
 Kepler-207 c: 4.077 1.500 nan 0.0440 3.07157 1716.0 0
 Kepler-207 d: 3.970 3.310 nan 0.0680 5.86808 1380.4 0
>Kepler-208: 293.8901979 42.5279413 12.210 1.310 1.175 6092.0 4.26 0.02
 Kepler-208 b: 3.308 1.630 nan 0.0540 4.22864 1446.9 0
 Kepler-208 c: 3.882 1.390 nan 0.0790 7.46662 1196.2 0
 Kepler-208 d: 4.118 1.200 nan 0.1030 11.13179 1047.6 0
 Kepler-208 e: 4.038 1.480 nan 0.1320 16.25946 925.4 0
>Kepler-209: 291.1694567 42.6407281 12.362 0.940 0.936 5513.0 4.47 0.11
 Kepler-209 b: 2.878 2.260 nan 0.1220 16.08785 737.9 0
 Kepler-209 c: 5.630 3.100 nan 0.2310 41.74988 536.3 0
>Kepler-21: 287.3619673 38.7141384 6.945 1.900 1.410 6305.0 4.03 -0.03
 Kepler-21 b: 3.483 1.639 7.500 0.0434 2.78582 2011.6 0
>Kepler-210: 292.5034196 43.0832188 11.313 0.650 0.720 4559.0 4.66 -0.12
 Kepler-210 b: 1.746 2.940 nan 0.0320 2.45323 990.8 0
 Kepler-210 c: 2.902 3.620 nan 0.0700 7.97251 669.9 0
>Kepler-211: 285.4391183 43.1685051 11.447 0.820 0.871 5123.0 4.55 0.15
 Kepler-211 b: 2.226 1.260 nan 0.0480 4.13858 1021.0 0
 Kepler-211 c: 2.053 1.290 18.300 0.0620 6.04045 898.4 0
>Kepler-212: 287.6208165 43.1416239 11.620 1.460 1.170 5852.0 4.18 0.12
 Kepler-212 b: 6.596 1.090 nan 0.1330 16.25758 934.9 0
 Kepler-212 c: 8.316 2.740 nan 0.2070 31.80517 749.4 0
>Kepler-213: 290.8241931 44.6472832 12.122 1.200 1.027 5696.0 4.31 -0.06
 Kepler-213 b: 1.768 1.620 nan 0.0360 2.46236 1585.8 0
 Kepler-213 c: 0.828 2.340 nan 0.0570 4.82296 1260.2 0
>Kepler-214: 284.7548499 44.9560500 12.607 1.350 1.195 6169.0 4.25 -0.36
 Kepler-214 b: 7.006 2.610 nan 0.1300 15.66054 958.6 0
 Kepler-214 c: 7.803 2.130 nan 0.1940 28.77980 784.7 0
>Kepler-215: 294.9735313 45.2136867 11.996 1.030 0.887 5739.0 4.36 -0.38
 Kepler-215 b: 3.035 1.620 nan 0.0840 9.36067 969.1 0
 Kepler-215 c: 3.855 1.770 nan 0.1130 14.66711 835.5 0
 Kepler-215 d: 2.719 2.390 23.600 0.1850 30.86442 653.0 0
 Kepler-215 e: 5.654 1.750 nan 0.3140 68.16101 501.2 0
>Kepler-216: 293.7280695 46.1291139 12.621 1.260 1.111 6091.0 4.28 -0.15
 Kepler-216 b: 5.050 2.350 nan 0.0790 7.69364 1173.0 0
 Kepler-216 c: 6.869 3.040 nan 0.1360 17.40667 894.0 0
>Kepler-217: 293.0377331 46.2775223 12.103 1.800 1.268 6171.0 4.03 0.21
 Kepler-217 b: 4.011 2.230 nan 0.0650 5.37494 1565.9 0
 Kepler-217 c: 3.356 1.850 nan 0.0890 8.58600 1338.2 0
 Kepler-217 d: 3.658 1.421 nan 0.0537 3.88690 1749.9 0
>Kepler-218: 295.4128785 46.2665801 12.311 1.060 0.991 5502.0 4.39 0.36
 Kepler-218 b: 3.014 1.480 nan 0.0460 3.61934 1273.6 0
 Kepler-218 c: 6.271 3.140 nan 0.2480 44.69958 548.5 0
 Kepler-218 d: 9.598 2.799 nan 0.4896 124.52446 385.7 0
>Kepler-219: 288.7389481 46.7625929 12.389 1.490 1.170 5786.0 4.16 0.21
 Kepler-219 b: 3.272 2.950 nan 0.0570 4.58551 1426.5 0
 Kepler-219 c: 5.808 3.580 nan 0.1650 22.71461 838.4 0
 Kepler-219 d: 5.719 2.810 19.100 0.2720 47.90364 653.0 0
>Kepler-22: 289.2172051 47.8841427 10.152 0.870 0.860 5596.0 4.44 -0.26
 Kepler-22 b: 6.977 2.100 9.100 0.8120 289.86388 279.3 0
>Kepler-220: 291.5060432 46.8956262 10.550 0.670 0.750 4632.0 4.65 -0.26
 Kepler-220 b: 1.626 0.810 nan 0.0460 4.15981 852.4 0
 Kepler-220 c: 1.486 1.570 nan 0.0760 9.03420 663.2 0
 Kepler-220 d: 4.103 0.980 nan 0.1630 28.12240 452.8 0
 Kepler-220 e: 5.088 1.330 nan 0.2260 45.90273 384.6 0
>Kepler-221: 296.6547477 46.8352242 11.900 0.820 0.846 5243.0 4.54 -0.02
 Kepler-221 b: 2.064 1.710 nan 0.0370 2.79591 1190.2 0
 Kepler-221 c: 2.522 2.930 15.100 0.0590 5.69059 942.5 0
 Kepler-221 d: 2.530 2.730 nan 0.0870 10.04156 776.2 0
 Kepler-221 e: 2.245 2.630 nan 0.1300 18.36992 635.0 0
>Kepler-222: 287.9060885 46.9377479 13.235 0.870 0.952 5433.0 4.55 0.12
 Kepler-222 b: 1.828 3.160 nan 0.0480 3.93698 1115.4 0
 Kepler-222 c: 1.714 4.640 nan 0.0910 10.08881 810.1 0
 Kepler-222 d: 4.541 3.690 nan 0.1800 28.08191 576.0 0
>Kepler-223: 298.3183909 47.2794824 13.633 1.720 1.120 5814.0 4.27 0.16
 Kepler-223 b: 5.558 2.990 7.400 0.0771 7.38449 1324.4 0
 Kepler-223 c: 5.747 3.440 5.100 0.0934 9.84564 1203.3 0
 Kepler-223 d: 7.445 5.240 8.000 0.1225 14.78869 1050.7 0
 Kepler-223 e: 5.819 4.600 4.800 0.1484 19.72567 954.5 0
>Kepler-224: 290.9342679 47.3575414 13.703 0.680 0.741 5018.0 4.64 -0.36
 Kepler-224 b: 2.034 1.390 nan 0.0380 3.13292 1023.6 0
 Kepler-224 c: 2.843 3.120 nan 0.0580 5.92500 828.5 0
 Kepler-224 d: 3.114 2.300 nan 0.0890 11.34939 668.8 0
 Kepler-224 e: 1.846 1.970 nan 0.1240 18.64358 566.6 0
>Kepler-225: 292.1939846 47.4570808 13.253 0.480 0.517 3682.0 4.78 -0.11
 Kepler-225 b: 3.018 1.200 nan 0.0560 6.73897 519.8 0
 Kepler-225 c: 3.279 1.840 nan 0.1110 18.79423 369.2 0
>Kepler-226: 292.3760942 47.8809596 13.633 0.800 0.910 5571.0 4.59 -0.18
 Kepler-226 b: 2.596 1.550 24.000 0.0470 3.94100 1108.3 0
 Kepler-226 c: 3.051 2.270 45.200 0.0580 5.34955 997.7 0
 Kepler-226 d: 3.698 1.220 nan 0.0760 8.10904 871.6 0
>Kepler-227: 291.9342748 48.1416760 13.648 1.090 1.080 5854.0 4.40 0.14
 Kepler-227 b: 3.113 3.110 nan 0.0900 9.48802 982.4 0
 Kepler-227 c: 4.511 3.040 nan 0.2900 54.41869 547.3 0
>Kepler-228: 296.2860853 48.2246328 14.132 1.010 1.097 6043.0 4.47 -0.08
 Kepler-228 b: 2.327 1.530 nan 0.0380 2.56655 1502.3 0
 Kepler-228 c: 3.123 2.700 nan 0.0520 4.13444 1284.2 0
 Kepler-228 d: 4.591 4.040 nan 0.1010 11.09429 921.5 0
>Kepler-229: 286.9994758 48.3757867 13.785 0.730 0.813 5120.0 4.63 0.16
 Kepler-229 b: 2.640 2.200 nan 0.0620 6.25297 847.2 0
 Kepler-229 c: 3.546 4.920 nan 0.1170 16.06864 616.7 0
 Kepler-229 d: 5.020 3.850 nan 0.2200 41.19491 449.7 0
>Kepler-23: 294.2189131 49.4792536 11.998 1.550 1.080 5828.0 4.09 -0.05
 Kepler-23 b: 5.265 1.638 2.560 0.0742 7.10000 1284.7 0
 Kepler-23 c: 6.130 3.005 7.810 0.0977 10.74000 1119.1 0
 Kepler-23 d: 6.077 2.206 4.440 0.1236 15.27000 995.2 0
>Kepler-230: 285.7185682 48.5058038 13.299 0.820 0.869 5588.0 4.55 -0.30
 Kepler-230 b: 5.783 4.260 nan 0.1910 32.62555 558.3 0
 Kepler-230 c: 6.034 2.040 nan 0.3800 91.77324 395.8 0
>Kepler-231: 293.9733913 50.5318460 12.589 0.490 0.534 3767.0 4.78 -0.24
 Kepler-231 b: 1.440 1.730 35.400 0.0740 10.06527 467.4 0
 Kepler-231 c: 3.209 1.930 24.100 0.1140 19.27157 376.6 0
>Kepler-232: 295.8161668 51.1217249 13.765 0.970 1.070 5847.0 4.50 0.07
 Kepler-232 b: 3.172 3.080 nan 0.0540 4.43122 1195.0 0
 Kepler-232 c: 2.612 3.830 nan 0.1010 11.37935 873.8 0
>Kepler-233: 296.3665054 51.3194548 13.453 0.760 0.848 5360.0 4.61 -0.08
 Kepler-233 b: 2.697 2.430 nan 0.0770 8.47238 812.0 0
 Kepler-233 c: 5.619 2.710 nan 0.2870 60.41895 420.6 0
>Kepler-234: 291.6535379 38.4946597 14.065 1.110 1.161 6224.0 4.42 0.07
 Kepler-234 b: 3.175 3.700 nan 0.0400 2.71151 1581.0 0
 Kepler-234 c: 4.039 3.510 nan 0.0770 7.21205 1139.5 0
>Kepler-235: 286.0790779 39.2782370 13.116 0.550 0.606 4255.0 4.73 -0.42
 Kepler-235 b: 1.925 2.230 nan 0.0370 3.34022 791.1 0
 Kepler-235 c: 2.217 1.280 nan 0.0650 7.82490 596.8 0
 Kepler-235 d: 3.312 2.050 nan 0.1220 20.06055 435.6 0
 Kepler-235 e: 4.833 2.220 nan 0.2130 46.18367 329.7 0
>Kepler-236: 283.8664285 39.8981928 12.312 0.510 0.534 3750.0 4.75 -0.20
 Kepler-236 b: 1.328 1.570 nan 0.0650 8.29561 506.5 0
 Kepler-236 c: 4.166 2.000 nan 0.1320 23.96813 355.4 0
>Kepler-237: 283.2213438 40.4217620 13.172 0.720 0.727 4861.0 4.58 -0.08
 Kepler-237 b: 2.351 1.410 nan 0.0500 4.71511 889.5 0
 Kepler-237 c: 3.150 2.080 nan 0.0710 8.10364 746.4 0
>Kepler-238: 287.8971066 40.6378141 13.512 0.960 1.060 5739.0 4.49 0.30
 Kepler-238 b: 3.193 1.161 nan 0.0340 2.09088 1798.5 0
 Kepler-238 c: 4.837 1.604 nan 0.0690 6.15556 1262.5 0
 Kepler-238 d: 6.642 2.061 nan 0.1150 13.23355 977.9 0
 Kepler-238 e: 8.946 5.600 169.700 0.1644 23.65400 668.7 0
 Kepler-238 f: 7.159 2.000 13.500 0.2724 50.44700 519.5 0
>Kepler-239: 294.2020505 40.6633313 13.133 0.760 0.827 4914.0 4.58 0.16
 Kepler-239 b: 2.899 2.330 nan 0.0950 11.76305 670.2 0
 Kepler-239 c: 3.700 2.510 nan 0.2680 56.22810 399.0 0
>Kepler-24: 290.4132621 38.3437283 13.372 1.100 1.060 6028.0 4.35 -0.24
 Kepler-24 b: 4.084 2.348 11.140 0.0807 8.14000 1072.9 0
 Kepler-24 c: 6.221 2.514 9.990 0.1065 12.33000 934.2 0
 Kepler-24 d: 2.945 1.424 nan 0.0510 4.24438 1430.1 0
 Kepler-24 e: 2.963 2.371 nan 0.1380 18.99836 869.4 0
>Kepler-240: 291.1587635 40.7502108 13.464 0.740 0.855 4985.0 4.63 0.10
 Kepler-240 b: 2.368 1.370 nan 0.0480 4.14450 943.8 0
 Kepler-240 c: 2.598 2.200 102.300 0.0740 7.95353 760.1 0
>Kepler-241: 292.9131121 41.0609786 12.881 0.670 0.685 4699.0 4.63 -0.12
 Kepler-241 b: 3.117 2.330 nan 0.0940 12.71809 604.9 0
 Kepler-241 c: 4.273 2.570 nan 0.1890 36.06598 426.6 0
>Kepler-242: 286.5656932 41.8084168 13.238 0.850 0.836 5020.0 4.49 0.01
 Kepler-242 b: 2.740 2.610 nan 0.0750 8.20395 814.9 0
 Kepler-242 c: 3.222 2.000 nan 0.1090 14.49648 676.0 0
>Kepler-243: 285.1104819 42.0339619 13.064 0.840 0.973 5228.0 4.57 0.21
 Kepler-243 b: 2.484 2.450 nan 0.0620 5.71544 927.9 0
 Kepler-243 c: 1.319 1.990 nan 0.1420 20.02622 613.1 0
>Kepler-244: 287.2426410 42.3014185 13.730 0.800 0.911 5554.0 4.58 -0.20
 Kepler-244 b: 2.735 2.760 nan 0.0500 4.31179 1071.3 0
 Kepler-244 c: 1.373 2.050 nan 0.0870 9.76729 812.1 0
 Kepler-244 d: 4.504 2.310 15.200 0.1400 20.05040 640.2 0
>Kepler-245: 291.6389972 42.4363482 13.639 0.800 0.834 5100.0 4.56 0.04
 Kepler-245 b: 2.804 2.570 nan 0.0710 7.49019 825.5 0
 Kepler-245 c: 2.244 2.180 225.600 0.1240 17.46081 624.7 0
 Kepler-245 d: 4.804 3.030 21.600 0.2020 36.27711 489.4 0
 Kepler-245 e: 2.116 1.750 nan 0.0406 3.21982 1107.7 0
>Kepler-246: 296.4834007 42.6633806 13.038 0.830 0.886 5206.0 4.56 0.14
 Kepler-246 b: 2.227 2.340 nan 0.0520 4.60182 1002.9 0
 Kepler-246 c: 3.161 1.500 nan 0.0950 11.18716 742.0 0
>Kepler-247: 288.6425609 43.0393769 13.051 0.770 0.888 5100.0 4.61 0.21
 Kepler-247 b: 2.077 1.640 nan 0.0420 3.33616 1053.0 0
 Kepler-247 c: 2.896 4.090 nan 0.0840 9.43945 744.6 0
 Kepler-247 d: 3.068 3.940 nan 0.1400 20.47791 576.7 0
>Kepler-248: 293.0613138 43.5813577 13.357 0.830 0.964 5190.0 4.57 0.18
 Kepler-248 b: 3.008 3.020 nan 0.0660 6.30821 887.5 0
 Kepler-248 c: 4.030 4.070 nan 0.1230 16.23949 650.1 0
>Kepler-249: 296.9853002 43.6586043 11.966 0.480 0.523 3568.0 4.78 0.02
 Kepler-249 b: 1.767 1.090 nan 0.0350 3.30654 637.2 0
 Kepler-249 c: 2.219 1.510 nan 0.0580 7.11370 495.0 0
 Kepler-249 d: 2.697 1.570 nan 0.0970 15.36846 382.7 0
>Kepler-25: 286.6383905 39.4879038 9.493 1.320 1.170 6270.0 4.28 -0.04
 Kepler-25 b: 3.618 2.748 8.700 0.0699 6.23830 1314.0 0
 Kepler-25 c: 2.594 5.217 15.200 0.1124 12.72070 1036.2 0
 Kepler-25 d: nan nan 71.900 0.5084 122.40000 487.2 0
>Kepler-250: 289.5947633 44.1418114 13.483 0.810 0.856 5160.0 4.57 0.02
 Kepler-250 b: 2.403 1.130 nan 0.0480 4.14814 1022.1 0
 Kepler-250 c: 2.567 2.280 nan 0.0690 7.15680 852.5 0
 Kepler-250 d: 1.980 2.180 nan 0.1270 17.64831 628.4 0
>Kepler-251: 296.5662171 44.1058077 13.632 0.890 0.888 5526.0 4.49 -0.16
 Kepler-251 b: 2.705 1.330 nan 0.0530 4.79094 1091.9 0
 Kepler-251 c: 4.108 2.770 nan 0.1220 16.51404 719.7 0
 Kepler-251 d: 4.919 2.770 nan 0.1820 30.13300 589.3 0
 Kepler-251 e: 4.360 2.770 nan 0.4040 99.64016 395.5 0
>Kepler-252: 295.5793290 44.5459052 12.466 0.550 0.580 4208.0 4.72 -0.13
 Kepler-252 b: 1.978 1.230 nan 0.0580 6.66839 624.9 0
 Kepler-252 c: 2.976 2.150 nan 0.0800 10.84846 532.0 0
>Kepler-253: 291.8419337 44.8581240 13.534 0.790 0.890 5208.0 4.59 0.06
 Kepler-253 b: 1.932 1.630 nan 0.0460 3.78399 1040.7 0
 Kepler-253 c: 3.517 2.650 nan 0.0890 10.28195 748.2 0
 Kepler-253 d: 4.290 3.170 nan 0.1300 18.11987 619.1 0
>Kepler-254: 288.1646541 45.8164257 14.254 0.910 1.002 5957.0 4.52 -0.22
 Kepler-254 b: 3.032 3.870 nan 0.0640 5.82666 1083.2 0
 Kepler-254 c: 3.362 2.150 3.200 0.1050 12.41218 845.6 0
 Kepler-254 d: 3.961 2.500 nan 0.1390 18.74648 735.0 0
>Kepler-255: 296.0642702 45.9767647 13.689 0.930 1.050 5573.0 4.52 0.34
 Kepler-255 b: 2.238 1.550 nan 0.0630 5.71461 1032.5 0
 Kepler-255 c: 3.380 2.990 nan 0.0920 9.94605 854.4 0
 Kepler-255 d: 1.827 1.429 nan 0.0195 1.04562 1740.7 0
>Kepler-256: 292.5804200 46.0973588 13.424 1.300 1.034 5551.0 4.22 0.07
 Kepler-256 b: 2.241 1.590 nan 0.0270 1.62049 1857.4 0
 Kepler-256 c: 2.628 2.150 nan 0.0450 3.38802 1438.7 0
 Kepler-256 d: 3.134 2.480 nan 0.0640 5.83917 1206.4 0
 Kepler-256 e: 3.542 2.350 nan 0.0960 10.68157 985.0 0
>Kepler-257: 297.3159994 46.0232642 13.372 1.040 0.924 5180.0 4.36 0.32
 Kepler-257 b: 1.812 2.610 nan 0.0340 2.38267 1381.5 0
 Kepler-257 c: 3.289 5.410 nan 0.0660 6.58148 991.5 0
 Kepler-257 d: 2.655 4.950 nan 0.1600 24.66455 636.8 0
>Kepler-258: 294.0684116 46.5791357 12.956 0.920 0.837 4942.0 4.44 0.44
 Kepler-258 b: 3.418 4.060 nan 0.1030 13.19722 712.2 0
 Kepler-258 c: 4.126 3.610 nan 0.1930 33.65308 520.3 0
>Kepler-259: 288.2119707 46.6150461 13.555 0.900 0.999 5938.0 4.53 -0.20
 Kepler-259 b: 2.954 2.800 nan 0.0790 8.11532 966.5 0
 Kepler-259 c: 4.723 2.700 nan 0.2170 36.92493 583.1 0
>Kepler-26: 284.9410627 46.5664505 12.630 0.510 0.540 3914.0 4.71 -0.13
 Kepler-26 b: 2.797 2.780 5.120 0.0848 12.28000 462.8 0
 Kepler-26 c: 2.037 2.720 6.200 0.1064 17.25590 413.2 0
 Kepler-26 d: 2.012 0.957 nan 0.0390 3.54392 827.0 0
 Kepler-26 e: 2.084 2.156 nan 0.2200 46.82791 348.2 0
>Kepler-260: 291.9259658 38.0140525 12.494 0.860 0.840 5250.0 4.49 -0.02
 Kepler-260 b: 3.027 2.010 nan 0.0750 8.18740 857.3 0
 Kepler-260 c: 6.826 1.740 nan 0.3320 76.05018 407.4 0
>Kepler-261: 291.3647333 37.6092390 11.585 0.790 0.844 5098.0 4.56 0.16
 Kepler-261 b: 2.759 2.180 nan 0.0880 10.38123 736.6 0
 Kepler-261 c: 2.761 2.000 nan 0.1560 24.57086 553.2 0
>Kepler-262: 290.7287168 37.2526575 12.732 0.880 0.985 5841.0 4.54 -0.34
 Kepler-262 b: 3.278 1.360 nan 0.1080 13.06086 804.0 0
 Kepler-262 c: 3.490 1.640 nan 0.1520 21.85372 677.7 0
>Kepler-263: 292.4698022 37.5677941 13.548 0.790 0.840 5265.0 4.58 -0.10
 Kepler-263 b: 4.143 2.670 nan 0.1200 16.56809 651.4 0
 Kepler-263 c: 3.069 2.470 nan 0.2420 47.33277 458.7 0
>Kepler-264: 292.0446280 37.3761861 11.591 1.550 1.237 6158.0 4.15 0.05
 Kepler-264 b: 14.253 3.330 nan 0.2490 40.80623 740.9 0
 Kepler-264 c: 17.933 2.830 nan 0.5660 140.10126 491.4 0
>Kepler-265: 290.5104788 41.2447430 13.897 1.100 0.942 5835.0 4.33 -0.14
 Kepler-265 b: 3.590 1.860 nan 0.0690 6.84626 1123.4 0
 Kepler-265 c: 4.732 2.630 nan 0.1270 17.02894 828.1 0
 Kepler-265 d: 3.066 2.490 nan 0.2360 43.13062 607.5 0
 Kepler-265 e: 7.066 2.590 nan 0.3190 67.83102 522.5 0
>Kepler-266: 294.4843821 44.1669355 13.811 1.030 1.090 5885.0 4.45 -0.05
 Kepler-266 b: 3.717 2.480 nan 0.0710 6.61833 1080.9 0
 Kepler-266 c: 8.080 3.890 nan 0.4570 107.72360 426.0 0
>Kepler-267: 299.8305655 47.1575741 12.485 0.560 0.601 4258.0 4.73 -0.26
 Kepler-267 b: 1.494 1.980 37.900 0.0370 3.35373 798.8 0
 Kepler-267 c: 1.350 2.130 nan 0.0600 6.87745 627.3 0
 Kepler-267 d: 2.742 2.270 nan 0.1540 28.46451 391.5 0
